WEB_TEXT,TITLE,DESCRIPTION,KEYWORDS,TARGET
,Famous Dave's BBQ Restaurant | Best Barbecue Restaurant,Check out the list of all Famous Dave's Barbecue restaurants near you in USA. Enjoy our latest cuisines with our exclusive offers and coupons.,"BBQ Restaurants USA, Barbecue Good Restaurants Near Me, Dave's barbecue",restaurant
,"Home - Pizza Schmizza Unique Pizzas, Pastas, Sides in Portland, Oregon","Pizza Schmizza restaurant based in Portland and other Oregon cities offers unique pizzas, pastas and sides for dine in and take out.",,restaurant
"Place Your ORDER ONLINE Place Your ORDER BY PHONE Let Us Do The CATERING 609-484-1480 807 Tilton Road, Northfield, NJ 08225 Get Our Newsletter Get Our Newsletter Email This field is for validation purposes and should be left unchanged. Call: © Atlantic One Tilton, LLC • Chido Burrito™ Cool Mexican",,,,restaurant
,,Award-winning Pagosa Springs restaurant and brewery,,restaurant
Copyrights © India K' Raja,,,,restaurant
"WELCOME! M. Restaurant and Bar belongs to our growing restaurant group, locally owned by restauranteurs Jan and Bernie Strawn. M. is located inside of Cummins Station in downtown Nashville and showcases their contemporary take on Southern fare in a modern setting. Or call 615.678.1591 Private Parties Phone: 615.610.0591 Hours DINNER Monday- Sunday: 5pm-9:30pm LUNCH Monday-Friday: 11am-2pm 209 10th Ave S Suite 223 Nashville, TN 37203 © 2015 M. Restaurant and Bar",HOME | m-restaurant,,,restaurant
"Unfortunately, reservations cannot be made and gift certificates cannot be purchased from this page. Your Name (required) Your Email (required) Regarding Location: Mequon Your Message Mequon Chancery 11046 N Port Washington Rd (262) 241-3450 MONDAY-SATURDAY, OPEN 11AM - CLOSE 9PM SUNDAY, OPEN 11AM - CLOSE 8PM",,,,restaurant
"Make a ""Picture-perfect food in a picturesque setting"" -The Seattle Times We are currently in Phase 2: This means THE PATIO IS OPEN 7 days a week for Lunch & Dinner! No reservations. First come, first served. Please respect social distancing guidelines. Be advised that we are no longer a full-service restaurant. We now operate on a more casual “cantina service” model: order at the bar, sit down with your drinks, your food will be brought out to you when it’s ready. Re-order at the bar. We will be updating menu items and running specials daily so please check Follow us on Recent News Email List Enter your address to jump on. 2865 Eastlake Ave. E., Seattle, WA 98102 (206) 397-4940",,,,restaurant
,Georgetown Sandwich Shops near me and Catering near me - Quiznos,"Find a restaurant near you. Your Quiznos in Georgetown offers toasty sub sandwiches, salads, soups, and great catering options.",,restaurant
"Bluegrass Kitchen Lunch - Brunch - Dinner - Cocktails - Art - Live Music Bluegrass Kitchen is currently closed for the forseeable future, we hope to reopen at some point and thank you for your support during these trying times. Contact Us Upcoming Events... About Us Fresh farm-to-table comfort food with a modern edge. Our specialties are vegetarian and omnivorous dishes made from ingredients naturally sourced within West Virginia and the Appalachians. Herb infused and prepared daily, our dishes delight and inspire. Located near the West Virginia State Capitol, Bluegrass features a beautiful dining-room restored to it's circa 1920's look with pressed tin ceilings, exposed brick, an oak floor, and a full-service bar. The decor expresses a connection to the arts. Many fine artists live throughout the neighborhood, and bluegrass serves as a gallery for their works.",,,,restaurant
,Buffalos Best Grill,"Buffalos Best Grill in Orchard Park is your neighborhood Bar and Grill! With a full menu, 7 flat screen TVs, 23 Beers on Tap, $6.99 Daily Lunch Specials and more!",,restaurant
,,"Come visit Chick-fil-A in Monroe - Monroe (NC) for delicious options such as our signature chicken sandwich, salads, chicken nuggets, and breakfast menu.",,restaurant
"Menu © 2009 revive +replenish | 619 east university | ann arbor, mi 48104 | revive 734-332-3366 | replenish 734-332-3355",,,,restaurant
www.greekexpress1.com Coming soon.,,,,restaurant
,Paramount Hotel | Best Rates | 3 Star Temple Bar Hotel Dublin,The Paramount Hotel is located in the heart of Temple Bar in Dublin City Centre. Book directly to avail of our Best Rates and Exclusive Offers. Free Wi-Fi.,,accommodation
"Working with you to build a better Triangle! Interested in Choose your Town...... Be sure to Visit.... Includes Clayton, Garner, Morrisville, Includes Pittsboro Your virtual guides to Free Online Classifieds .....",,,,restaurant
Menu 4 Star Restaurant We have a private banquet room for private parties! Thank you in advance for your patronage. *** Disclaimer: Prices are subject to change without notice. *** Phone: Fax: Hours:,,,,restaurant
,The Talpa Restaurant & Bar - Authentic Mexican Since 1964,"Breakfast lunch, & dinner in the heart of West Los Angeles. Full bar, famous margaritas, and a huge domestic and imported beer selection. Join us!",,restaurant
,,"View China Jade Restaurant menu, Order Chinese food Delivery Online from China Jade Restaurant, Best Chinese Delivery in Front Royal, VA",,restaurant
,"Woodvilla Lodge, Holiday Rental near Kilmore Quay","Woodvilla Lodge is a five-bedroom self-catering house available for holiday rentals. Just a few miles from Kilmore Quay, between Bridgetown and Kilmore, Woodvilla Lodge is an idyllic spot to spend your holiday.",,accommodation
,HOME | Taj Mahal Homestyle Indian Food Boise Idaho,"We bring generational Indian recipes to the treasure valley of 20+ Vegan options, Savory Cuts & Curry's, fresh baked flaky naan, and lassi. Taj Mahal Homestyle Indian and Pakistani cuisine offers Takeout, Dine-In, Catering and Delivery.",,restaurant
,"Sam's Sorrento Pizza, The Real Difference is the Taste!","For pizza and pizza delivery and catering, choose Sam's Sorrento Pizza. Sam's Sorrento Pizza serves mouth-watering pizza, wings, ribs, seafood, Italian pasta, Mr. Tony's subs, ciabattas, and more made from the finest quality ingredients.",,restaurant
Domain is for sale,,,,restaurant
,,All listed japanese restaurants / sushi bars in: Sierra Vista.,"sushi, Tanuki Sushi Bar & Garden, Sierra Vista",restaurant
"We Are Open With Indoor & Outdoor Seating. You Can Also Order Online! We Are Now Hiring! Click BELOW to Join the Strudel Team! Take a look at our menu! Then check our our locations after that. A Bite of History Owners Trip and Marila Turbyfill opened Cafe Strudel on October 3, 1997 (Marila’s birthday) at 134 State Street . It was a SMALL (600 square foot) space with about 10 tables. An immediate success, we soon outgrew our humble beginnings. In 2000 we moved to 118 State Street and quadrupled our space. A former Bank Building, it also was used for a period of time as New Brookland Town Hall (Prior to the name change of West Columbia)... Modern, Art-Filled Atmosphere Cafe Strudel is known for the way it displays beautiful pieces of art throughout its restaurant. Are you interested in having your artwork on display? © 2017 Cafe Strudel. Website by",Home,,,restaurant
,,"View Golden Palace Restaurant menu, Order Chinese food Pick up Online from Golden Palace Restaurant, Best Chinese in Gastonia, NC",,restaurant
,MJ's Raw Bar - Curbside Pickup To-Go Menu,"Now seating inside at MJâs Raw Bar with extended hours, Sun - Thurs, 11am - 9pm and Fri & Sat 11am - 10pm at216 Middle St, New Bern, NC. Take out, phone 252-635-6890 âor 252-635-6892â.","crab,baltimore,maryland,steamed,crab,shrimp,oyster,mussels,steamed,clams,snow crab,Crab Cake,Crab Pretzel,Buffalo Shrimp,buffalo chicken dip,calamari,alligator,wings,seafood,Dungeness Crab,Crawfish,steaks,new bern,north carolina,MJs,M J,M J s,restaurant,food,dinner,lunch,supper,bar,pub,POMODORO,""NEW YORK STRIP"",""prime rib"",""top sirloin"",""soft shell crabs"",""shrimp and grits"",""BERMUDA TRIANGLE"",""strawberry salad"",grilled,blackened,crabcake,Tirramisu,art,artists,mjsrawbar,""Middle Street"",steamer",restaurant
,,"View China Wok menu, Order Chinese food Delivery Online from China Wok, Best Chinese Delivery in West Palm Beach, FL",,restaurant
"Enjoy the flavor of premium fried chicken, Our Work Dixie Lee continues to expand through all of North America. Find a location nearest you or start one yourself. To contact Dixie Lee at the headquarters or to speak with your local Dixie Lee... Read More Join the Dixie Lee family. We are looking for Investors, Area Developers, Multi-unit Franchise owners and single unit Franchisees; so there is a place for you at Dixie Lee... Read More Want to know more about chicken and who had the bright idea of plucking the feathers and deep frying them in the first place? We did too, so enjoy the read... Read More Get in the know… Name First Last Email Phone CAPTCHA Since 1964 Dixie Lee has brought families together, young and old, to enjoy the taste of premium fried chicken, the best chicken you have ever tasted. Connect With Us General Inquiries: Franchise Opportunities: Phone: Join our VIP list Name Email Phone Copyright © 2018 — Dixie Lee Fried Chicken • All rights reserved. • Privacy Policy • Terms of Use • Designed By:",,,,restaurant
,,,"Essex, Fish, Seafood, Prime Rib, Scallops, Food, Dining, Restaurant, Restaurants, Menu, Service, Oriental, Oriental Food, Italian, Italian Food, Kids Menu, Family Dining, Clam Chowder, Lobster, Oysters, Oyster Bar, Lewis', Lewis' Restaurant, Lewis' of Essex, Fresh Food, Fresh Seafood, Fresh Fish, Clams, Steamers, LEWIS' Restaurant & Oyster Bar, LEWIS' Restaurant and Oyster Bar, Lewis' Oyster Bar, Oysters on the half shell",restaurant
,"Veggie Galaxy | Veggie Restaurant in Cambridge, MA",Veggie Galaxy Offers Traditional Diner Comfort Food Made from Scratch: The Twist Is that It’s All Vegetarian (and Everything Can Be Made Vegan!) Our On-Site Bakery Is 100% Vegan.,"Vegetarian Restaurant, Vegan Restaurant, Vegan Diner, Vegetarian Diner, Vegan Bakery, Vegan Brunch",restaurant
"Kenmare, Co. Kerry, Ireland Accommodation in Kenmare - B&B and Self-Catering Options - Four Star Bed & Breakfast Self-Catering Town House (Sleeps 9) Self-Catering Town Cottage (Sleeps 6) © 2018 Rockcrest House Kenmare by Gerald O'Dwyer",,,,accommodation
,,"Catering Kentucky food delivered Louisville,Lexington,etc., southern Indiana;Burgoo, snappycheese,vegetarian entrees/wholegrain bread since 1984;rock/Bluegrass bands/theatre","live music: Bluegrass, wholegrain breads , snappycheese, Louisville friendly bar, Kentucky foods, Louisville hangout, Louisville cheap beer and drinks,avant garde plays,open stage Mondays,Peacemakers,Blessed poor,Blessed Meek,Neighborlovers,vegan-friendly,Tree Huggers,Anti-War,Baseball fans,U of K fans,U of L fans,Berea Alumna,cornbread eaters,BBQ eaters,Ralph Stanley fans,Mark Twain fans,Brotherhood",restaurant
Domain is for sale,,,,restaurant
"Welcome to Cook St. Helena Petite eatery draws locals with its locally sourced Northern Italian cuisine & elegant atmosphere. Book a Table Make Reservation Date Time 8:00 am 8:30 am 9:00 am 9:30 am 10:00 am 10:30 am 11:00 am 11:30 am 12:00 pm 12:30 pm 1:00 pm 1:30 pm 2:00 pm 2:30 pm 3:00 pm 3:30 pm 4:00 pm 4:30 pm 5:00 pm 5:30 pm 6:00 pm 6:30 pm 7:00 pm 7:30 pm 8:00 pm 8:30 pm 9:00 pm 9:30 pm 10:00 pm 10:30 pm 11:00 pm 11:30 pm Guest Number 1 Person 2 People 3 People 4 People 5 People 6 People 7 People 8 People 9 People 10 People What They Say Reviews The food is thoughtful and refined with a daily rotating risotto, house-stretched mozzarella and burrata, and glorious pastas like ricotta fazoletti with a deeply flavored Bolognese. Grilled octopus salad with potatoes, olives, and tomato dressing is boosted by prime ingredients and careful seasoning. Michelin Guide “Eat well with locals” “find” “pasta done right” “beautiful” “warm, helpful” “tiny” “crowded conditions” “good reason” “everything works.” Zagat Contact Us (707) 963-7088 1310 Main Street Copyright © 2020 Cook St. Helena. All rights reserved.",Home - Cook St. Helena,,,restaurant
"1 N Main St Ste T Greenville 29601 864-451-6200 Our Story Tupelo Honey is a revival of Southern food and traditions rooted in the Carolina Mountains we call home. We craft brunches, lunches and suppers that bring family and friends around the table and allow for conversations and cocktails to linger longer than usual. Scratch-made Southern Faves We create your favorite Southern dishes from scratch using thoughtfully- and responsibly-sourced ingredients. $2.50 Double Smack Burgers $2.50 Double Smack Burgers Our NEW Double Smack Burger features two full-sized smashed & griddled patties, white cheddar cheese and house-made pickles for just $2.50. Available every Friday night after 8PM. Dine-in only. Now Offering Delivery! Now Offering Delivery! We now offer delivery on your Tupelo ToGo online orders! Get a scratch-made Southern meal delivered right to your door tonight. Build-Your-Own Supper Plates Build-Your-Own Supper Plates Build your perfect supper plate! Choose your favorite protein plus two farm-fresh sides. © Copyright 2017 Tupelo Honey. Site designed by Uncompany.",Welcome | Southern Restaurant & Bar,,,restaurant
,"Quiznos - Rivertown Commons, Sandwich Shop Near Me","Quiznos Sandwich restaurants in Oxon Hill serve toasted sandwiches, soups, and salads for lunch or dinner. Quiznos provides food delivery and food catering services in Oxon Hill, MD. We are still bringing Toasty to the masses as we have since 1981. We believe in making great tasting sandwiches from the highest quality ingredients, with freshly-sliced meats, cheese and vegetables.",,restaurant
Each turkey is seasoned and then deep-fried whole Whole Turkeys Whole Turkey 15 pound whole fried turkey. $75 We're freeway close in Los Angeles. Order your delicious fried turkey and we'll have it ready when you arrive.,,,,restaurant
,,The Original and Still the Best Golden Tenders are only found at Golden Chick restaurants. Find menu and locations.,"Golden Chick, restaurant, restaurants, fast food, QSR, chicken tenders, fried chicken, Golden Chicken”/></body></html>",restaurant
,,"New Park Hotel located in the town of Athenry, Co. Galway. With a Tea Room, Dining Room and Bar plus boutique bedrooms","hotels in athenry, athenry golf, fields of athenry, bistro, somewhere to eat in atherny, food in athenry, book a party in athenry,",accommodation
,,"A local barbecue restaurant, bbq joint and caterer specializing in Carolina bbq style ribs, pulled pork, brisket, chicken and sauces. Carolina style slow smoked award-winning barbecue and caterers.",,restaurant
,,"Parklodge B&B is an deal base for touring the South West of Ireland and is convenient to Ballybunion, Tralee, Killarney, Dingle and Crag Cave.","bed and breakfast, abbeyfeale, bed and breakfast limerick, bed and breakfast abbeyfeale, bed & breakfast abbeyfeale, bed & breakfast limerick, b&b, b&b abbeyfeale, b&b limerick, adare, adare limerick, listowel, accommodation abbeyfeale, crag caves, crag caves castleisland, ballybunion, tralee, guest house, guest house abbeyfeale, accommodation",accommodation
,"Creations in Catering | Catering in Honolulu, Oahu Hawaii","Creations in Catering offers high-end wedding, corporate catering, event planning, graduation party as well as Hawaiian food and local-style casual selections. National Catering Award Winner",,restaurant
,29 Palms Inn,"Stay awhile at 29 Palms Inn, located on the Oasis of Mara in California's High Desert.",,restaurant
,Home,Enjoy the Brazilian Experience!,"food, dining,cooking, Fire of Brazil, Fire of Brazil Express, Brazilian Food, Churrasco",restaurant
"HOME ARCADIA | 626-294-0466 100% Natural, Organic and Fresh NATURAL SELECTION is committed to being an essential part of your health by providing you with fresh, wholesome and delicious food. Every meal that we serve is made of the highest quality and freshest ingredients. We are as passionate about taste as we are about serving you with quality food you can trust. We use cage free organic eggs. We only serve ORGANIC, in-season vegetables, fruits and grains. We craft our signature dressings individually to create the perfect balance in every bite. Whether you dine in at lunch, have a snack or need a quick meal to go our partnership with you is continually encourage and enhance your overall wellness with delicious meals that are good for you! Monday-Friday until 12pm | All day Saturday With your choice of fruit, homestyle potatoes or cottage cheese Sandwiches, Burgers, Burrito or Quesadillas With your choice of soup, salad, fruit or chips 16oz 7.5 | 24oz 8.5 Fresh made when order! HOURS OF OPERATION Mon – Fri 8 am-7pm | Sat 9am – 4pm | Sun Closed Natural Selection 2018 HOME MENU",,,,restaurant
,,"Everybody's American Cookhouse & Sports Theater in Port Orchard, WA. Call us at (360) 443-2979. Check out our location and hours, and latest menu with photos and reviews.",,restaurant
"Pablo’s Mexican Restaurant Since 1986, people have come from near and far to satisfy their craving for fresh Mexican Cuisine at Pablo’s Mexican Restaurant. Family owned and operated, Pablo’s Mexican Restaurant’s delicious, California-style cuisine was influenced by our family’s Hispanic roots. Mexican Food in Shakopee, MN Our We also offer takeout cuisine, which can be easily ordered online Pablo’s Mexican Restaurant also offers Hungry? Make a reservation online Pablo’s Mexican Restaurant 230 Lewis Street Hours Monday - Thursday Friday - Saturday Closed Sunday Online Get In Touch © 2020 Pablo’s Mexican Restaurant",,,,restaurant
,,Aldridge Lodge Restaurant and Guesthouse offers award-winning lunch and dinner menus as well as luxury accommodation. Winner Best Restaurant in Wexford 2013.,"accommodation Wexford, restaurant Wexford, quality restaurant Wexford, best restaurant Wexford, guesthouse Wexford, bed and breakfast Wexford, best seafood in Ireland, michelin restuarant, award-winning restaurant",accommodation
"LOCATIONS WE’RE OPEN! OUTDOOR DINING AT ALL LOCATIONS Indoor Dining Capacity Delaware 60% Pennsylvania 25% New Jersey 25% Turning Point is closely monitoring the impact coronavirus is having on the communities in which we operate. As always, our number one priority is protecting the well-being of employees and customers, and this principle guides each and every decision we make. At this time, all Turning Point Restaurants remain open for contactless curbside pick-up and delivery, through Uber Eats, Door Dash & GrubHub, to serve you during our usual operating hours of 7am-3pm. We are taking proactive steps to help ensure the safety in our restaurants across all our communities in partnership with local and national health authorities, and as the situation continues to evolve, so will our policies. Follow us on Instagram CORPORATE HEADQUARTERS Turning Point Restaurants MORE TURNING POINT © Copyright 2020 Turning Point Restaurants. All Rights Reserved. All Locations!",,,,restaurant
,,"Delivery, eat-in or take-out. Pizza,hot wings and more. Call or visit 505-722-4454,1516 E Hwy 66; or 505-863-6791, 1316 Metro Ave.",,restaurant
©2005 Fajita Grill | All Rights Reserved. |,,,,restaurant
,Pancheros Mexican Grill - Quick Casual Resturant - Burritos Better Built.,"Fresh Mexican grill featuring fresh pressed tortillas and mixed burritos, Homemade Tortillas, Fresh Ingredients Mixed by Bob, Customized Meals, Affordable Franchise.","pancheros, pancheros grill, pancheros restaurant, tortilla, fresh tortilla, bob-the-tool, burrito, burritos, tacos, mexican, grill, food, dining, caritas, jalapeno, restaurant, Des Moines, fast food, steak, beef, chicken, rice, tacos, salads, vegetables, salsa, nacho, pepper, guacamole, cilantro, tortilla",restaurant
"Friday, March 10, 2017 Get your corndog dressed up! Posted by Let's make it a meal! Comes with your choice of 2 sides Posted by This is the MadBum Corndog: 1/3 Louisiana Hot Link, 1/3 Mozzarella Cheese, 1/3 Chicken Apple Posted by Let me introduce the Octoberfest Corndog. Posted by We offer Chili Cheese Corndogs on our food truck! Come find us!!! Posted by We now have our food truck and you can follow us on Twitter, Facebook, or Instagram to find out where we will be! Posted by Tuesday, April 2, 2013 Posted by Subscribe to: Followers Subscribe To About Me",batter up,,,restaurant
,Woodlands Indian Cuisine,"Woodlands Indian Cuisine - Best Indian Food in Chatsworth. The ALL-VEGETARIAN Indian restaurant serving the intriguing foods of India’s southern region…..If you’re looking for value and tasty food, you will certainly find it here. 9840 Topanga Canyon Blvd, Chatsworth, CA 91311","Woodlands Indian Cuisine, Indian, Vegetarian, Indian Food Chatsworth, Indian Buffet Chatsworth, Order Indian Food, Indian Food Delivery, Online Indian Food, Pickup & Delivery.",restaurant
,The Oink Joint BBQ,"Located on the square in Zebulon, GA",,restaurant
,Gleneagle Hotel & Apartments Killarney - Official Website,"Official site of Gleneagle Hotel & Apartments Killarney. Want to catch a gig next door at the INEC, take the kids away or just relax? We've got something for everyone!",,accommodation
,Top of the Market San Mateo,It is with a heavy heart we announce that we are ceasing operations at Top of the Market in San Mateo. We have explored every option to continue but have made the difficult decision that there is no…,,restaurant
"A Place To Gather With Friends We are pleased to offer personalized options and service to each and every guest. If you have a specific request, please connect with us by phone to further discuss details. Hours of Operation Monday – Saturday • 11:00 AM – 9:00 PM 405-359-1501 Contact Us © 2017 Holloway Group. All Rights Reserved.",,,,restaurant
